t=2026-01-27T14:41:31+0100 lvl=info msg="no configuration paths supplied"
t=2026-01-27T14:41:31+0100 lvl=info msg="using configuration at default config path" path=/home/ubuntu/.config/ngrok/ngrok.yml
t=2026-01-27T14:41:31+0100 lvl=info msg="open config file" path=/home/ubuntu/.config/ngrok/ngrok.yml err=nil
t=2026-01-27T14:41:31+0100 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-27T14:41:31+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-27T14:41:31+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-27T14:41:31+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=33107e355fab l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=a93462ccc1eb l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=7d457978b311 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=034ea07a2e7d l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=774986753b91 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=fd5030b8a6ea l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=3aab2925a6fa l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=4ae407484fb7 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=cbd66fc0bbf9 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=457d6c05dbcd l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=7a135d25c9f1 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=32bc3a933ab6 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=3b290620da42 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=da87cf295cb1 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=56f74ab277c9 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=26c0e35788a4 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=cfcfbab57144 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:14+0100 lvl=info msg="join connections" obj=join id=375532720b9a l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:14+0100 lvl=info msg="join connections" obj=join id=c4790c8ed003 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:14+0100 lvl=info msg="join connections" obj=join id=1bbed31a3db9 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:14+0100 lvl=info msg="join connections" obj=join id=478b5b096063 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:14+0100 lvl=info msg="join connections" obj=join id=26e852d0c235 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:14+0100 lvl=info msg="join connections" obj=join id=1718df800e01 l=[::1]:3001 r=196.127.186.153:59374
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=908d6f2e9380 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=ba2a82e5391a l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=8a4ae87ddf1c l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=7259e66862f0 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=817c98ee49ed l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=e33bb567ff16 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=8c4e352f482f l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=a4577aec032a l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=40fcef1a4410 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=142310a447cf l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=7e6d24d76889 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=a775fd041a1c l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=29e35b15c779 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=fc9acdba20db l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=d688629e6357 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=65231d31b13a l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=ce791ead8b4f l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=27af92fb141e l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:22+0100 lvl=info msg="join connections" obj=join id=8286742ffd6b l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:23+0100 lvl=info msg="join connections" obj=join id=ac8d2a7046fa l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:23+0100 lvl=info msg="join connections" obj=join id=4a22fb736375 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:23+0100 lvl=info msg="join connections" obj=join id=50239c55c1b0 l=[::1]:3001 r=196.127.186.153:59407
t=2026-01-27T14:43:26+0100 lvl=info msg="join connections" obj=join id=af4b25147804 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:26+0100 lvl=info msg="join connections" obj=join id=08d94f5bc349 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:26+0100 lvl=info msg="join connections" obj=join id=f5624ad3fcce l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:26+0100 lvl=info msg="join connections" obj=join id=faf5225aa6a2 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=7f98502447bc l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=06c71417af63 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=9ba70a001be5 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=6f86d086f12d l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=00f0f9693c18 l=[::1]:3001 r=196.127.186.153:58915
